Ev,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,20009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,20
Bihor,3011,1789,1646,793,552,1018,658,734,466,289,497,317,334,425,521,297,335,178,181,219,143,281,263,259,176,226,369,305,421,392,282,532,681,
Cluj,2965,1604,1277,618,531,986,823,693,602,593,647,535,538,661,665,479,557,325,391,447,345,506,503,501,351,529,724,783,838,834,536,931,1254,
Maramures,1356,1002,747,413,383,658,577,461,285,179,297,204,173,289,348,282,330,195,179,273,183,296,310,374,273,330,466,482,550,448,393,662,897,
Satu Mare,3084,1663,1338,665,806,871,868,708,497,344,544,267,245,322,463,338,398,188,208,158,155,296,254,273,218,410,447,433,479,499,284,510,609,
Salaj,423,340,267,127,111,225,166,175,163,107,139,132,125,100,122,78,80,39,67,58,61,107,102,120,64,69,132,117,166,153,130,213,252,
Alba,2773,1197,625,545,272,466,330,309,184,158,187,125,86,168,189,146,239,142,153,155,105,241,287,262,161,193,288,314,396,374,267,444,573,
Brasov,8925,3499,1993,1231,1037,1521,1171,1304,905,703,974,637,517,640,754,667,831,557,502,580,374,555,474,550,421,641,934,1000,1126,1030,722,1135,1622,
Covasna,766,540,486,177,174,308,203,183,113,75,111,72,65,74,121,104,125,78,56,69,65,110,73,99,65,80,113,88,108,120,60,126,158,
Harghita,1448,1076,916,407,379,722,362,322,213,146,179,154,160,182,402,308,290,103,108,111,82,130,114,111,89,100,115,96,99,105,81,138,200,
Mures,4920,2286,1715,1163,774,1095,706,745,523,388,528,431,454,510,772,435,486,277,255,268,222,376,299,339,254,278,435,415,511,453,355,598,739,
Sibiu,20849,7309,5256,1815,1183,1597,1199,1208,745,494,661,284,346,645,720,504,768,413,430,506,315,509,529,509,355,502,705,689,803,728,602,977,1158,
Bacau,232,240,200,116,151,239,262,294,269,264,351,314,196,355,457,479,654,333,320,369,293,415,438,479,434,592,856,880,1062,1172,782,1383,2266,
Botosani,102,157,77,45,50,61,109,144,123,113,137,89,92,97,90,96,126,91,125,135,117,235,239,270,186,277,378,385,432,474,366,638,1030,
Iasi,381,322,214,112,139,319,309,457,404,285,423,340,128,282,386,397,550,341,328,453,331,769,678,609,542,829,1289,1491,1876,1925,1831,3027,4953,
Neamt,167,240,132,94,139,194,234,274,235,192,339,376,313,294,374,533,741,422,319,287,220,345,361,326,289,375,608,578,703,772,559,891,1283,
Suceava,814,804,330,164,191,344,305,321,317,276,469,498,383,408,439,268,389,235,226,228,236,987,1072,760,253,345,539,530,658,691,569,1044,1290,
Vaslui,65,186,62,27,41,84,96,106,102,86,118,50,28,59,107,79,96,100,94,121,105,221,239,298,260,311,527,544,755,911,869,1509,2520,
Braila,132,142,67,43,61,121,110,108,92,66,137,82,55,77,88,88,113,93,94,135,92,183,211,218,167,210,334,370,420,401,344,498,642,
Buzau,164,493,57,77,89,80,123,117,133,80,99,92,73,70,79,89,94,97,83,89,82,157,133,243,134,177,312,297,343,361,274,418,585,
Constanta,921,659,460,303,383,462,415,479,369,369,516,257,210,204,276,300,325,217,248,331,258,423,487,568,444,527,852,883,1063,964,727,1246,1535,
Galati,213,237,182,137,141,339,261,239,204,154,176,161,128,202,347,331,427,230,269,291,235,490,480,504,418,537,831,878,1096,1141,860,1477,2367,
Tulcea,95,135,62,49,54,83,70,75,74,68,73,57,42,52,48,50,52,54,63,60,59,102,148,183,147,160,285,290,304,313,246,378,456,
Vrancea,123,110,45,43,50,101,134,184,133,120,212,164,124,221,201,302,349,172,124,132,104,196,161,178,171,212,332,316,413,384,262,450,695,
Arges,270,321,116,94,140,313,251,262,222,185,201,147,99,79,99,85,117,97,112,148,141,194,214,208,175,250,367,360,406,436,348,491,700,
Calarasi,130,320,34,22,37,74,87,82,64,39,81,47,17,46,23,30,35,33,35,38,40,115,107,152,132,167,199,239,234,300,215,277,401,
Dambovita,196,465,86,46,64,100,117,132,75,80,159,90,38,87,120,79,116,105,101,123,112,173,211,271,211,260,383,402,503,482,381,541,756,
Giurgiu,102,335,20,22,6,37,35,36,24,53,52,24,16,25,15,17,27,21,15,22,28,65,82,122,92,108,143,159,210,166,144,187,306,
Ialomita,72,124,39,27,28,46,63,56,48,57,85,47,22,46,42,31,32,25,23,36,40,72,83,156,92,126,255,206,251,198,160,234,387,
Prahova,323,455,285,180,238,445,461,342,275,208,359,255,153,228,235,169,272,190,203,230,176,297,413,409,283,413,643,606,762,667,499,839,1136,
Teleorman,111,168,34,29,27,37,73,61,42,68,102,58,15,27,44,42,64,36,60,47,65,191,304,328,229,266,403,379,450,415,333,431,521,
Ilfov,199,101,109,49,99,156,123,66,50,38,52,36,22,34,39,17,37,18,40,50,23,72,57,105,133,174,214,276,305,319,278,434,590,
Municipiul Bucuresti,7778,3931,4272,2474,3579,5760,5143,3979,6326,3976,2861,1805,1409,1758,2018,1791,2403,1625,1527,1886,1433,6034,5422,6043,1664,2531,3634,3783,4244,4092,3260,5305,7219,
Dolj,275,434,222,160,163,436,385,348,245,246,296,224,129,196,306,262,297,210,165,283,192,299,291,277,260,303,526,468,515,519,410,674,914,
Gorj,80,111,73,46,37,64,86,77,52,40,58,28,33,52,38,43,46,45,50,57,55,84,71,84,69,113,143,148,171,204,140,277,377,
Mehedinti,239,245,138,78,100,98,113,169,105,88,111,53,36,44,49,46,84,59,56,79,51,108,79,111,92,103,168,148,180,213,144,275,310,
Olt,66,89,57,19,38,69,51,102,84,56,96,47,20,43,46,58,77,59,63,76,62,122,195,210,162,190,266,242,358,289,235,400,493,
Valcea,167,161,91,48,58,124,132,139,128,144,211,116,88,154,150,79,113,78,85,112,89,146,155,115,98,124,260,228,246,272,185,322,424,
Arad,7335,2808,1422,2226,820,1076,860,971,501,357,437,273,240,264,345,249,330,200,226,251,206,366,461,373,286,378,561,552,590,558,557,788,1122,
Caras-Severin,3703,1844,1154,748,715,1068,857,751,433,262,432,153,195,207,240,229,348,218,204,242,162,332,319,381,293,359,508,517,700,633,485,727,980,
Hunedoara,1071,824,570,311,323,545,396,411,291,227,258,168,158,239,271,194,308,247,246,300,220,364,339,395,290,354,555,632,633,571,497,784,1149,
Timis,20426,5038,3958,2567,2834,3021,2583,2089,1291,776,941,598,528,711,882,746,960,564,594,627,524,1072,1009,962,599,839,1323,1285,1407,1427,1078,1677,2309,
